SCC,차종,소분류,연료,물질,연식,추가조건,배출계수,열화계수,,
7010201,승용차,소형,휘발유,NOx,’17,,5.7226E-07*V^2-1.4891E-04*V+1.3178E-02,Tf10p_10W,,
7010201,승용차,소형,휘발유,NOx,’18>,,5.8363E-07*V^2-1.4810E-04*V+1.2786E-02,Tf10p_10W,,
7010201,승용차,소형,휘발유,MPI_PM10,all,,0.00030,Tf10p_10W,,
7010201,승용차,소형,휘발유,MPI_PM10,all,,0.00075,Tf10p_10W,,
7010201,승용차,소형,휘발유,GDI_PM10,’10>,,0.0010,Tf10p_10W,,
7010201,승용차,소형,휘발유,GDI_PM10,’10>,,0.0025,Tf10p_10W,,
7010201,승용차,소형,휘발유,MPI_PM25,all,,0.92*0.00030,Tf10p_10W,,
7010201,승용차,소형,휘발유,MPI_PM25,all,,0.92*0.00075,Tf10p_10W,,
7010201,승용차,소형,휘발유,GDI_PM25,’10>,,0.92*0.0010,Tf10p_10W,,
7010201,승용차,소형,휘발유,GDI_PM25,’10>,,0.92*0.0025,Tf10p_10W,,
7010301,승용차,중형,휘발유,CO,’86<,,247.00*V^(-0.6651),Tf10p_5W,,
7010301,승용차,중형,휘발유,CO,’87-’90,,36.169*V^(-0.7587),Tf10p_5W,,
7010301,승용차,중형,휘발유,CO,’91-’99,,51.555*V^(-0.9531),Tf10p_5W,,
7010301,승용차,중형,휘발유,CO,’00-’02,,29.921*V^(-0.8868),Tf10p_10W,,
7010301,승용차,중형,휘발유,CO,’03-’05,,2.4938*V^(-0.6106),Tf10p_10W,,
7010301,승용차,중형,휘발유,CO,’06-’08,,2.2900E-05*V^2-1.6300E-03*V+5.8300E-02,Tf10p_10W,,
7010301,승용차,중형,휘발유,CO,’09-’11,,2.1068E-05*V^2-1.4996E-03*V+5.3636E-02,Tf10p_10W,,
7010301,승용차,중형,휘발유,CO,’12-’13,,2.0408E-05*V^2-1.4527E-03*V+5.1957E-02,Tf10p_10W,,
7010301,승용차,중형,휘발유,CO,’14,,1.9749E-05*V^2-1.4057E-03*V+5.0278E-02,Tf10p_10W,,
7010301,승용차,중형,휘발유,CO,’15,,1.9089E-05*V^2-1.3588E-03*V+4.8599E-02,Tf10p_10W,,
7010301,승용차,중형,휘발유,CO,’16,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_10W,,
7010301,승용차,중형,휘발유,CO,’17,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_10W,,
7010301,승용차,중형,휘발유,CO,’18>,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’86<,,15.953*V^(-0.5059),Tf10p_5W,,
7010301,승용차,중형,휘발유,VOC,’87-’90,,15.607*V^(-1.0423),Tf10p_5W,,
7010301,승용차,중형,휘발유,VOC,’91-’99,,31.816*V^(-1.4804),Tf10p_5W,,
7010301,승용차,중형,휘발유,VOC,’00-’02,,7.9374*V^(-1.3041),Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’03-’05,,0.4262*V^(-1.0122),Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’06-’08,,0.0633*V^(-1.0484),Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’06-’08,,1.3200E-06*V^2-1.8800E-04*V+7.7000E-03,Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’09-’11,,0.0570*V^(-1.0484),Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’09-’11,,1.1880E-06*V^2-1.6920E-04*V+6.9300E-03,Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’12-’13,,0.0547*V^(-1.0484),Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’12-’13,,1.1405E-06*V^2-1.6243E-04*V+6.6528E-03,Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’14,,0.0524*V^(-1.0484),Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’14,,1.0930E-06*V^2-1.5566E-04*V+6.3756E-03,Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’15,,0.0501*V^(-1.0484),Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’15,,1.0500E-06*V^2-1.4890E-04*V+6.0984E-03,Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’16,,5.7153E-02*V^-1.0656E+00,Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’16,,1.4308E-06*V^2-1.3307E-04*V+3.2987E-03,Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’17,,6.2620E-02*V^-1.1016E+00,Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’17,,1.3125E-06*V^2-1.2579E-04*V+3.3016E-03,Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’18>,,6.7287E-02*V^-1.1300E+00,Tf10p_10W,,
7010301,승용차,중형,휘발유,VOC,’18>,,1.2232E-06*V^2-1.2029E-04*V+3.3037E-03,Tf10p_10W,,
7010301,승용차,중형,휘발유,NOx,’86<,,3.1140*V^(-0.2278),Tf10p_5W,,
7010301,승용차,중형,휘발유,NOx,’87-’90,,6.2007*V^(-0.6781),Tf10p_5W,,
7010301,승용차,중형,휘발유,NOx,’91-’99,,7.5244*V^(-0.7634),Tf10p_5W,,
7010301,승용차,중형,휘발유,NOx,’00-’02,,1.8525*V^(-0.4192),Tf10p_10W,,
7010301,승용차,중형,휘발유,NOx,’03-’05,,0.1818*V^(-0.4316),Tf10p_10W,,
7010301,승용차,중형,휘발유,NOx,’06-’08,,-3.5000E-06*V^2+3.3000E-04*V+1.1200E-02,Tf10p_10W,,
7010301,승용차,중형,휘발유,NOx,’09-’11,,-3.2511E-06*V^2+3.0653E-04*V+1.0404E-02,Tf10p_10W,,
7010301,승용차,중형,휘발유,NOx,’12-’13,,-3.1615E-06*V^2+2.9809E-04*V+1.0117E-02,Tf10p_10W,,
7010301,승용차,중형,휘발유,NOx,’14,,-3.0719E-06*V^2+2.8964E-04*V+9.8301E-03,Tf10p_10W,,
7010301,승용차,중형,휘발유,NOx,’15,,-2.9823E-06*V^2+2.8119E-04*V+9.5434E-03,Tf10p_10W,,
7010301,승용차,중형,휘발유,NOx,’16,,5.5718E-07*V^2-1.4999E-04*V+1.3699E-02,Tf10p_10W,,
7010301,승용차,중형,휘발유,NOx,’17,,5.7226E-07*V^2-1.4891E-04*V+1.3178E-02,Tf10p_10W,,
7010301,승용차,중형,휘발유,NOx,’18>,,5.8363E-07*V^2-1.4810E-04*V+1.2786E-02,Tf10p_10W,,
7010301,승용차,중형,휘발유,MPI_PM10,all,,0.00030,Tf10p_10W,,
7010301,승용차,중형,휘발유,MPI_PM10,all,,0.00075,Tf10p_10W,,
7010301,승용차,중형,휘발유,GDI_PM10,’10>,,0.0010,Tf10p_10W,,
7010301,승용차,중형,휘발유,GDI_PM10,’10>,,0.0025,Tf10p_10W,,
7010301,승용차,중형,휘발유,MPI_PM25,all,,0.92*0.00030,Tf10p_10W,,
7010301,승용차,중형,휘발유,MPI_PM25,all,,0.92*0.00075,Tf10p_10W,,
7010301,승용차,중형,휘발유,GDI_PM25,’10>,,0.92*0.0010,Tf10p_10W,,
7010301,승용차,중형,휘발유,GDI_PM25,’10>,,0.92*0.0025,Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’86<,,247.00*V^(-0.6651),Tf10p_5W,,
7010401,승용차,대형,휘발유,CO,’87-’90,,36.169*V^(-0.7587),Tf10p_5W,,
7010401,승용차,대형,휘발유,CO,’91-’99,,51.555*V^(-0.9531),Tf10p_5W,,
7010401,승용차,대형,휘발유,CO,’00-’02,,29.921*V^(-0.8868),Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’03-’05,,2.4938*V^(-0.6106),Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’06-’08,,1.4082*V^(-0.7728 ),Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’06-’08,,8.0000E-05*V^2-1.2700E-02*V+5.7510E-01,Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’09-’11,,1.2955*V^(-0.7728 ),Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’09-’11,,7.3600E-05*V^2-1.1684E-02*V+5.2909E-01,Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’12-’13,,1.2550*V^(-0.7728 ),Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’12-’13,,7.1296E-05*V^2-1.1318E-02*V+5.1253E-01,Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’14,,1.2144*V^(-0.7728 ),Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’14,,6.8992E-05*V^2-1.0952E-02*V+4.9597E-01,Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’15,,1.1739*V^(-0.7728 ),Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’15,,6.6688E-05*V^2-1.0587E-02*V+4.7940E-01,Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’16,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’17,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_10W,,
7010401,승용차,대형,휘발유,CO,’18>,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’86<,,15.953*V^(-0.5059),Tf10p_5W,,
7010401,승용차,대형,휘발유,VOC,’87-’90,,15.607*V^(-1.0423),Tf10p_5W,,
7010401,승용차,대형,휘발유,VOC,’91-’99,,31.816*V^(-1.4804),Tf10p_5W,,
7010401,승용차,대형,휘발유,VOC,’00-’02,,7.9374*V^(-1.3041),Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’03-’05,,0.4262*V^(-1.0122),Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’06-’08,,0.0633*V^(-1.0484),Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’06-’08,,1.3200E-06*V^2-1.8800E-04*V+7.7000E-03,Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’09-’11,,0.0570*V^(-1.0484),Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’09-’11,,1.1880E-06*V^2-1.6920E-04*V+6.9300E-03,Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’12-’13,,0.0547*V^(-1.0484),Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’12-’13,,1.1405E-06*V^2-1.6243E-04*V+6.6528E-03,Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’14,,0.0524*V^(-1.0484),Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’14,,1.0930E-06*V^2-1.5566E-04*V+6.3756E-03,Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’15,,0.0501*V^(-1.0484),Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’15,,1.0500E-06*V^2-1.4890E-04*V+6.0984E-03,Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’16,,5.7153E-02*V^-1.0656E+00,Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’16,,1.4308E-06*V^2-1.3307E-04*V+3.2987E-03,Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’17,,6.2620E-02*V^-1.1016E+00,Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’17,,1.3125E-06*V^2-1.2579E-04*V+3.3016E-03,Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’18>,,6.7287E-02*V^-1.1300E+00,Tf10p_10W,,
7010401,승용차,대형,휘발유,VOC,’18>,,1.2232E-06*V^2-1.2029E-04*V+3.3037E-03,Tf10p_10W,,
7010401,승용차,대형,휘발유,NOx,’86<,,3.1140*V^(-0.2278),Tf10p_5W,,
7010401,승용차,대형,휘발유,NOx,’87-’90,,6.2007*V^(-0.6781),Tf10p_5W,,
7010401,승용차,대형,휘발유,NOx,’91-’99,,7.5244*V^(-0.7634),Tf10p_5W,,
7010401,승용차,대형,휘발유,NOx,’00-’02,,1.8525*V^(-0.4192),Tf10p_10W,,
7010401,승용차,대형,휘발유,NOx,’03-’05,,0.1818*V^(-0.4316),Tf10p_10W,,
7010401,승용차,대형,휘발유,NOx,’06-’08,,-3.5000E-06*V^2+3.3000E-04*V+1.1200E-02,Tf10p_10W,,
7010401,승용차,대형,휘발유,NOx,’09-’11,,-3.2511E-06*V^2+3.0653E-04*V+1.0404E-02,Tf10p_10W,,
7010401,승용차,대형,휘발유,NOx,’12-’13,,-3.1615E-06*V^2+2.9809E-04*V+1.0117E-02,Tf10p_10W,,
7010401,승용차,대형,휘발유,NOx,’14,,-3.0719E-06*V^2+2.8964E-04*V+9.8301E-03,Tf10p_10W,,
7010401,승용차,대형,휘발유,NOx,’15,,-2.9823E-06*V^2+2.8119E-04*V+9.5434E-03,Tf10p_10W,,
7010401,승용차,대형,휘발유,NOx,’16,,5.5718E-07*V^2-1.4999E-04*V+1.3699E-02,Tf10p_10W,,
7010401,승용차,대형,휘발유,NOx,’17,,5.7226E-07*V^2-1.4891E-04*V+1.3178E-02,Tf10p_10W,,
7010401,승용차,대형,휘발유,NOx,’18>,,5.8363E-07*V^2-1.4810E-04*V+1.2786E-02,Tf10p_10W,,
7010401,승용차,대형,휘발유,MPI_PM10,all,,0.00030,Tf10p_10W,,
7010401,승용차,대형,휘발유,MPI_PM10,all,,0.00075,Tf10p_10W,,
7010401,승용차,대형,휘발유,GDI_PM10,’10>,,0.0010,Tf10p_10W,,
7010401,승용차,대형,휘발유,GDI_PM10,’10>,,0.0025,Tf10p_10W,,
7010401,승용차,대형,휘발유,MPI_PM25,all,,0.92*0.00030,Tf10p_10W,,
7010401,승용차,대형,휘발유,MPI_PM25,all,,0.92*0.00075,Tf10p_10W,,
7010401,승용차,대형,휘발유,GDI_PM25,’10>,,0.92*0.0010,Tf10p_10W,,
7010401,승용차,대형,휘발유,GDI_PM25,’10>,,0.92*0.0025,Tf10p_10W,,
7030101,승합차,경형,휘발유,CO,’96<,,11.249*V^(-0.6579),Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’96<,,0.0003*V^2+0.0002*V+0.4136,Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’97-’99,,16.965*V^(-0.8461),Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’97-’99,,-0.0003*V^2+0.0777*V-1.9363,Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’00-’05,,9.9433*V^(-0.8461),Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’00-’05,,-0.0002*V^2+0.0455*V-1.1349,Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’06-’08,,4.4952*V^(-0.8461),Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’06-’08,,-0.0001*V^2+0.0229*V-0.5701,Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’09-’11,,4.5956*V^(-0.8461),Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’09-’11,,-9.2000E-05*V^2+2.1068E-02*V-5.2449E-01,Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’12-’13,,4.4517*V^(-0.8461),Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’12-’13,,-8.9120E-05*V^2+2.0408E-02*V-5.0807E-01,Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’14,,4.3079*V^(-0.8461),Tf10p_5W,,
7030101,승합차,경형,휘발유,CO,’14,,-8.6240E-05*V^2+1.9749E-02*V-4.9165E-01,Tf10p_5W,,
